File	Artist	Title	Genre	Year	SampleRate	BitRate	BitDepth	Duration	Album	AlbumArtist	Composer	Offset	Channels	Comment	Extra	Size
Sub Focus - Solar System.flac	Sub Focus	Solar System	Drum & Bass	2019-07-26	44100	1098.6627777777778	16	288.0	Solar System / Siren				2		{'isrc': 'GBUM71903244', 'lyrics': 'Red one\r\nRed one, one, one, one\r\nRed one\r\n\r\nRed one, one, one, one\r\nRed one\r\nRed one, one, one, one, one\r\nRed one\r\nRed one, one, one, one\r\nRed one\r\n\r\nRed one\r\nRed one, one, one, one, one\r\nRed one\r\nRed one, one, one, one\r\nRed one\r\nOne, one, one, one, one, one\r\nRed one\r\nRed one\r\nRed one\r\nRed one\r\n\r\nOne\r\nOne\r\nOne\r\nOne\r\nOne\r\nRed one, one, one, one\r\nRed one\r\n\r\nRed one, one, one, one\r\nRed one\r\nRed one, one, one, one, one\r\nRed one\r\nRed one, one, one, one\r\nRed one\r\n\r\nRed one\r\nRed one, one, one, one\r\nRed one\r\nRed one, one, one, one, one\r\nRed one\r\nRed one, one, one, one\r\nRed one\r\nRed one\r\nRed one\r\nRed one\r\nRed one', 'copyright': '© 2019 Sub Focus, under exclusive license to Universal Music Operations Limited'}	39551860
Scatman John - Scatman.flac	Scatman John	Scatman (ski-ba-bop-ba-dop-bop)		1994	44100	1040.0609233460361	16	213.42666666666668	Scatman (ski-ba-bop-ba-dop-bop)	Scatman John			2		{'copyright': 'Iceberg Records A/S'}	27747092
Gala - Freed From Desire.wav		Freed From Desire			44100	1411.2	16	212.02666666666667					2		{}	37401684
Karol G - Bichota.flac	KAROL G	BICHOTA	Latin Hip-Hop	2021	44100	799.2979555290256	16	178.69333333333333	KG0516	KAROL G			2		{'isrc': 'USUM72019324'}	17853652
Tiesto - The Motto.wav	Tiesto & Ava Max	The Motto	House	2021	44100	1411.2	16	164.81854875283446	Bedrock Classics Series 6				2	wWs Cr3w	{'copyright': '℗ 2021 Musical Freedom, LLC under exclusive license to Atlantic Recording Corporation for the world.', 'isrc': 'CYA112001070'}	29075140
Eddy Grant - Electric Avenue.flac	Eddy Grant	Electric Avenue	Pop	2002-07-02	44100	908.7555013077593	16	229.4	Like, Omigod! The ’80s Pop Culture Box (Totally)	Various Artists	Eddy Grant		2		{'initial_key': '11B', 'isrc': 'GBUM70801461'}	26058564
Tiësto - The Motto.flac	Tiësto & Ava Max	The Motto	Pop	2022	44100	1041.954911040702	16	164.12	Now That’s What I Call Music! 111 Disc.1	#Various Artists			2		{'isrc': 'CYA112001070'}	21375705
Benassi Bros - Every Single Day.flac	Benassi Bros. & Dhany	Every Single Day	Dance	2005-03-07	44100	1023.0353914465998	16	285.26666666666665	Every Single Day	Benassi Bros.	Annerley Gordon		2		"{'initial_key': '6A', 'isrc': 'IT00D0500401', 'lyrics': ""Hey guy, you're the one for me \r\nYour face, the sweetest thing I've ever seen \r\nStop by, dedicate to me \r\nYour time, your time \r\n\r\nAt night, it really gets to me \r\nI find nobody is here with me \r\nStop by, say you'll stay with me \r\nYou're the one I really miss \r\n\r\nEvery single day, single hour \r\nI can see your face, single day \r\nEvery single day, single hour \r\nI can see your face, single day \r\nEvery single day, single hour \r\nI can see your face, single day \r\nEvery single day, single hour \r\nI can see your face, single day \r\n\r\nHey guy, you're the one for me \r\nThose eyes, the loveliest I've ever seen \r\nStop by, just to say to me \r\nYou're mine, you're mine \r\n\r\nThis time lay some love on me \r\nI'm blind, to anything surrounding me \r\nso fine when you're next to me \r\nYou're the one I can't resist""}"	36479737
Etnica - Impact.flac	Etnica	Impact	Psy-Trance	2012	44100	798.5038334230776	16	527.3239455782312	2012 E.P.				2		{'initial_key': '6A'}	52633774
Gina G – Ti Amo.flac	Gina G	Ti Amo	pop	1997	44100	1009.5212310576472	16	170.69333333333333	Mr Music Hits 1997 Vol. 8				2	Track 4	{}	21539818
Boundless - Liquid Earth.wav					44100	1411.2	16	450.2257142857143					2		{}	79419860
Ummet Ozcan - My Beat Goes.flac	Ummet Ozcan	My Beat Goes	Dance	2023-12-15	44100	1031.6346515151515	16	226.28571428571428	My Beat Goes - Single	Ummet Ozcan			2		{}	29180523
French Affair - My Heart Goes Boom.flac	French Affair	My Heart Goes Boom (La Di Da Da)	Pop	2000	44100	955.2709368561386	16	220.02666666666667	Promo Only Mainstream Radio: December 2000	Various Artists			2		{'initial_key': '1A'}	26273135
